Genre,Sequence,Label
Blues,"[('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '56', 72), ('1/8', '56', 72), ('1/8', '60', 72)]","[('1/8', '66,69', 72)]"
Blues,"[('1/8', '55', 72), ('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '56', 72), ('1/8', '56', 72), ('1/8', '60', 72), ('1/8', '66,69', 72)]","[('1/8', '62', 72)]"
Blues,"[('1/8', '60,64', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '56', 72), ('1/8', '56', 72), ('1/8', '60', 72), ('1/8', '66,69', 72), ('1/8', '62', 72)]","[('1/4', '62', 72)]"
Blues,"[('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '56', 72), ('1/8', '56', 72), ('1/8', '60', 72), ('1/8', '66,69', 72), ('1/8', '62', 72), ('1/4', '62', 72)]","[('1/8', '60', 72)]"
Blues,"[('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '56', 72), ('1/8', '56', 72), ('1/8', '60', 72), ('1/8', '66,69', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72)]","[('1/8', '62', 72)]"
Blues,"[('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '56', 72), ('1/8', '56', 72), ('1/8', '60', 72), ('1/8', '66,69', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72)]","[('1/4', '62', 72)]"
Blues,"[('1/8', '57', 72), ('1/8', '56', 72), ('1/8', '56', 72), ('1/8', '60', 72), ('1/8', '66,69', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '62', 72)]","[('1/8', '56', 72)]"
Blues,"[('1/8', '56', 72), ('1/8', '56', 72), ('1/8', '60', 72), ('1/8', '66,69', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '56', 72)]","[('1/8', '57', 72)]"
Blues,"[('1/8', '56', 72), ('1/8', '60', 72), ('1/8', '66,69', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '56', 72), ('1/8', '57', 72)]","[('1/4', '60,66', 72)]"
Blues,"[('1/8', '60', 72), ('1/8', '66,69', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '56', 72), ('1/8', '57', 72), ('1/4', '60,66', 72)]","[('5/8', '62', 72)]"
Blues,"[('1/8', '66,69', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '56', 72), ('1/8', '57', 72), ('1/4', '60,66', 72), ('5/8', '62', 72)]","[('1/4', '62', 72)]"
Blues,"[('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '56', 72), ('1/8', '57', 72), ('1/4', '60,66', 72), ('5/8', '62', 72), ('1/4', '62', 72)]","[('1/8', '60', 72)]"
Blues,"[('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '56', 72), ('1/8', '57', 72), ('1/4', '60,66', 72), ('5/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72)]","[('1/8', '62', 72)]"
Blues,"[('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '56', 72), ('1/8', '57', 72), ('1/4', '60,66', 72), ('5/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72)]","[('1/4', '51', 72)]"
Blues,"[('1/8', '62', 72), ('1/4', '62', 72), ('1/8', '56', 72), ('1/8', '57', 72), ('1/4', '60,66', 72), ('5/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '51', 72)]","[('1/8', '55', 72)]"
Blues,"[('1/4', '62', 72), ('1/8', '56', 72), ('1/8', '57', 72), ('1/4', '60,66', 72), ('5/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '51', 72), ('1/8', '55', 72)]","[('1/4', '60,64', 72)]"
Blues,"[('1/8', '56', 72), ('1/8', '57', 72), ('1/4', '60,66', 72), ('5/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '51', 72), ('1/8', '55', 72), ('1/4', '60,64', 72)]","[('1/2', '57', 72)]"
Blues,"[('1/8', '57', 72), ('1/4', '60,66', 72), ('5/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '51', 72), ('1/8', '55', 72), ('1/4', '60,64', 72), ('1/2', '57', 72)]","[('1/4', '57', 72)]"
Blues,"[('1/4', '60,66', 72), ('5/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '51', 72), ('1/8', '55', 72), ('1/4', '60,64', 72), ('1/2', '57', 72), ('1/4', '57', 72)]","[('1/8', '55', 72)]"
Blues,"[('5/8', '62', 72), ('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '51', 72), ('1/8', '55', 72), ('1/4', '60,64', 72), ('1/2', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72)]","[('1/8', '57', 72)]"
Blues,"[('1/4', '62', 72), ('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '51', 72), ('1/8', '55', 72), ('1/4', '60,64', 72), ('1/2', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72)]","[('1/8', '51', 72)]"
Blues,"[('1/8', '60', 72), ('1/8', '62', 72), ('1/4', '51', 72), ('1/8', '55', 72), ('1/4', '60,64', 72), ('1/2', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72)]","[('1/8', '52', 72)]"
Blues,"[('1/8', '62', 72), ('1/4', '51', 72), ('1/8', '55', 72), ('1/4', '60,64', 72), ('1/2', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72)]","[('1/8', '55', 72)]"
Blues,"[('1/4', '51', 72), ('1/8', '55', 72), ('1/4', '60,64', 72), ('1/2', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72)]","[('1/8', '60', 72)]"
Blues,"[('1/8', '55', 72), ('1/4', '60,64', 72), ('1/2', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60', 72)]","[('1/8', '57', 72)]"
Blues,"[('1/4', '60,64', 72), ('1/2', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60', 72), ('1/8', '57', 72)]","[('1/4', '57', 72)]"
Blues,"[('1/2', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60', 72), ('1/8', '57', 72), ('1/4', '57', 72)]","[('1/8', '55', 72)]"
Blues,"[('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72)]","[('1/8', '57', 72)]"
Blues,"[('1/8', '55', 72), ('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72)]","[('1/4', '56,62,67', 72)]"
Blues,"[('1/8', '57', 72), ('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/4', '56,62,67', 72)]","[('1/8', '62,67,52,56', 72)]"
Blues,"[('1/8', '51', 72), ('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/4', '56,62,67', 72), ('1/8', '62,67,52,56', 72)]","[('3/8', '62,67', 72)]"
Blues,"[('1/8', '52', 72), ('1/8', '55', 72), ('1/8', '60', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/4', '56,62,67', 72), ('1/8', '62,67,52,56', 72), ('3/8', '62,67', 72)]","[('1/4', '60,66', 72)]"
Blues,"[('1/8', '55', 72), ('1/8', '60', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/4', '56,62,67', 72), ('1/8', '62,67,52,56', 72), ('3/8', '62,67', 72), ('1/4', '60,66', 72)]","[('1/8', '57,60,64', 72)]"
Blues,"[('1/8', '60', 72), ('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/4', '56,62,67', 72), ('1/8', '62,67,52,56', 72), ('3/8', '62,67', 72), ('1/4', '60,66', 72), ('1/8', '57,60,64', 72)]","[('1/8', '60,66,69', 72)]"
Blues,"[('1/8', '57', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/4', '56,62,67', 72), ('1/8', '62,67,52,56', 72), ('3/8', '62,67', 72), ('1/4', '60,66', 72), ('1/8', '57,60,64', 72), ('1/8', '60,66,69', 72)]","[('1/8', '57,60,66,69', 72)]"
Blues,"[('1/4', '57', 72), ('1/8', '55', 72), ('1/8', '57', 72), ('1/4', '56,62,67', 72), ('1/8', '62,67,52,56', 72), ('3/8', '62,67', 72), ('1/4', '60,66', 72), ('1/8', '57,60,64', 72), ('1/8', '60,66,69', 72), ('1/8', '57,60,66,69', 72)]","[('1/8', '66,69', 72)]"
Blues,"[('1/8', '55', 72), ('1/8', '57', 72), ('1/4', '56,62,67', 72), ('1/8', '62,67,52,56', 72), ('3/8', '62,67', 72), ('1/4', '60,66', 72), ('1/8', '57,60,64', 72), ('1/8', '60,66,69', 72), ('1/8', '57,60,66,69', 72), ('1/8', '66,69', 72)]","[('1/4', '60', 72)]"
Blues,"[('1/8', '57', 72), ('1/4', '56,62,67', 72), ('1/8', '62,67,52,56', 72), ('3/8', '62,67', 72), ('1/4', '60,66', 72), ('1/8', '57,60,64', 72), ('1/8', '60,66,69', 72), ('1/8', '57,60,66,69', 72), ('1/8', '66,69', 72), ('1/4', '60', 72)]","[('1/4', '57', 72)]"
Blues,"[('1/4', '56,62,67', 72), ('1/8', '62,67,52,56', 72), ('3/8', '62,67', 72), ('1/4', '60,66', 72), ('1/8', '57,60,64', 72), ('1/8', '60,66,69', 72), ('1/8', '57,60,66,69', 72), ('1/8', '66,69', 72), ('1/4', '60', 72), ('1/4', '57', 72)]","[('1/8', '55', 72)]"
Blues,"[('1/8', '62,67,52,56', 72), ('3/8', '62,67', 72), ('1/4', '60,66', 72), ('1/8', '57,60,64', 72), ('1/8', '60,66,69', 72), ('1/8', '57,60,66,69', 72), ('1/8', '66,69', 72), ('1/4', '60', 72), ('1/4', '57', 72), ('1/8', '55', 72)]","[('1/2', '57', 72)]"
Blues,"[('3/8', '62,67', 72), ('1/4', '60,66', 72), ('1/8', '57,60,64', 72), ('1/8', '60,66,69', 72), ('1/8', '57,60,66,69', 72), ('1/8', '66,69', 72), ('1/4', '60', 72), ('1/4', '57', 72), ('1/8', '55', 72), ('1/2', '57', 72)]","[('1/8', '62', 72)]"
